,Company,Job,Job Description,URL
22,Carrols Corporation,Restaurant General Manager,"Frequent contact, both inside and outside the restaurant, with the general public, business, and various community organizations in order to develop and improve the restaurant's public relations.Communicate with outside purveyors concerning the delivery of quality supplies and repairs to restaurant equipment.Occasional communication with Home Office personnel concerning public policy and procedures relevant to the restaurant's operation.Maintain staffing levels (hiring employees and/or scheduling work hours) through effective planning, which will assure the efficient operation of the restaurant in accordance with company policy and the respective state and federal labor laws.Supervise subordinate staff to assure that customers are treated promptly and courteously; products are of specified quality and quantity; equipment is maintained properly; sanitation standards are complied with, and the restaurant is maintained in a neat and attractive manner.Utilize all company training tools to provide crew employees with on-the-job training in all aspects of restaurant operation.Implement and execute appropriate restaurant level financial controls (petty cash, profit and loss statements, daily deposits, WebCEMS, payroll, NOI reports, budget book, EOD reports, etc.) to assure proper accountability of company funds.Implement appropriate restaurant level financial controls to assure that supplies are ordered as needed; materials received are of good quality and in the proper quantity and that proper accountability for supplies is maintained.Receive and resolve customer complaints in a tactful manner in order to maintain customer satisfaction.Appraise performance of subordinates to assure that job performance is appropriately recognized.Prepare projections of future sales and expenses in order to establish realistic yet challenging profit objectives.Exercise sound managerial judgment and decision-making pertaining to all employee relations and personnel actions (i.e., timely performance evaluations, grievance handling, disciplinary actions, employee counseling, etc.) in order to develop attitudes of cooperation, enthusiasm and professionalism.Complete, approve, submit and maintain files on all internal records and reports as required by law and company policy.Train and develop the capabilities of Assistant Managers and Manager Trainees in the areas of management skills and technical knowledge in order to provide for growth.Maintain a safe work environment for all employees and customers.Other duties as assigned.",https://www.linkedin.com/jobs/search/?currentJobId=3522480923&distance=25&geoId=103644278&keywords=restaurant%20manager&start=150
23,Chili's,Restaurant General Manager,"Lead and direct the work of the Management team including scheduling, assigning responsibilities and setting expectations.Manage performance of the Management team, including performance evaluations, coaching and accountability.Plan and implement weekly, monthly and yearly financial budgets.Oversee all operations to ensure a great Guest experience.Role model and hold Team Members accountable to operational and quality standards.Foster open communication between Team Members and Management team.Influence Team Member behaviors by championing change and restaurant initiatives.Drive business results by utilizing Chili's systems to effectively control costs.Follow operational systems, such as our Manager Timeline and performing quality Line Checks.Hire, train, retain, and develop Team Members to take on larger roles.Drive Guest engagement within the four walls of the restaurant while developing relationships within the community.Understand and practice safe food handling procedures.Communicate and embody Chili's culture and Cultural Beliefs: Every Guest Counts, Food Perfection, Be Accountable and Play Restaurant.",https://www.linkedin.com/jobs/search/?currentJobId=3521401038&distance=25&geoId=103644278&keywords=restaurant
24,Noodles & Company,Restaurant General Manager,"Partner with your management team to lead a high performing team.Run the restaurant with confidence, deliver fast and effective solutions.Lead with integrity and live the culture of Noodles & Company every day.Recognize your team members through positive and respectful leadership for a job well-done.Deliver an uncommonly good guest experience and make them feel like family.Continually review restaurant operations to identify any issues, concerns, and opportunities for improvement.Follow Noodles & Company's operational policy and procedures.Hire, train and retain restaurant team members and shift managers.Assess team member performance, deliver actionable and timely feedback.Keep your restaurant staffed with outstanding Noodlers and facilitate the internal development of your team to foster future leaders.Follow inventory control procedures and guidelines.Own scheduling, expense tracking, labor management, and local restaurant marketing.Lead with a culture of food safety that exceeds company standards in food quality, food safety practices, and cleanliness.",https://www.linkedin.com/jobs/search/?currentJobId=3525618200&distance=25&geoId=103644278&keywords=restaurant%20manager
25,Real Hospitality Group,General Manager,"Provide the Revenue Management Department with information that includes a market analysis of competitors' rates by market segment for weekday and weekend, and a forecast of local market conditions and special events that may impact occupancy and/or rate.Support sales efforts as directed by the Vice President and the Corporate Sales staff.Ensure that sales, front office, and reservation staffs are kept informed of rate structure and know how to implement yield management policies and procedures. Train front desk staff to successfully perform all front office operations, and revenue management and central reservations procedures. Train front desk staff to successfully perform selling techniques and procedures for current promotions.Use assigned franchise revenue management system (i.e. MARSHA, OnQ, Opera, IHOTELIER, MARC) to achieve maximum revenue.Be able to produce the annual budget by forecasting changes in operating expenses and labor cost.Use business forecasts to manage costs by scheduling labor in accordance with staffing guidelines, control other expenses in accordance with business demand levels, and control utility expenses in accordance with energy management and building operations standards.Based on forecasted monthly revenue, adjust controllable expenses to maintain profit margins and achieve planned monthly GOP and NOI (EBIDTA). Explain the causes for budget variances of controllable expenses, take corrective action to avoid future occurrences and adjust spending to eliminate variances.Protect the Company's financial assets by properly administering company policies and procedures for handling cash, credit card, accounts payable, accounts receivable, payroll and all other financial transactions. Also, properly administer company policies and procedures for protecting the safety of guests and associates.Receive satisfactory scores for internal audits and take action to correct any deficiencies.Execute company policies and procedures for purchasing.Train staff to successfully perform guest service procedures in accordance with company standards (e.g., greeting, scripts, pre-assignment of rooms, etc.).Train staff to successfully perform all functions for guest service and for handling upset guest who are dissatisfied with the products and services they received. Directly handle difficult situations involving upset guests. Attempt to resolve all issues of poor guest service before guests leave the property. Directly respond to guest complaint letters and comment cards in accordance with company standards.Manage the 100% guarantee process (if applicable) in accordance with standards and eliminate service issues that result in repeated invocations of the guarantee.Manage the franchise frequent guest program (guest rewards program) in accordance with franchise/company policies and procedures.Receive satisfactory scores from franchise or independent satisfaction surveys, (OSAT, GSS, GEI, SALT, Medallia) and RHG's mystery shopper program, and take action to correct any deficiencies.Recruit, select, train, motivate and manage associates to deliver guest services and quality products that will lead to achieving goals for revenue and profit.Properly administer company policies and procedures for human resources management, payroll administration, personnel transactions, and fair treatment of associates. Conduct wage surveys to provide input to annual budget and to ensure that the hotel is offering competitive wages.When assigned potential management candidates and trainees, train and develop these candidates in accordance with Human Resources programs and guidelines.Provide leadership by conducting business in a professional manner and in accordance with all company policies including standards of conduct, business ethics and conflicts of interest.Receive satisfactory scores for associate satisfaction surveys and take corrective action to correct any deficiencies. Maintain acceptable levels of associate turnover.Ensure a satisfactory guest experience and protect the Company's physical assets by maintaining the physical condition of the hotel in accordance with established quality control standards.Provide input to the annual capital budget (CAPEX), then manage the implementation within company guidelines and fiscal parameters of owner approved plan and budget. All CAPEX plans must consider franchise standard compliance, safety and security for guests and associates, projects providing profitable returns on investment.Manage the preventative maintenance and quick fix programs in accordance with company standards.Receive satisfactory scores for product quality as measured by franchise or independent inspection results and mystery shopper program and take action to correct any deficiencies.",https://www.linkedin.com/jobs/search/?currentJobId=3531448656&distance=25&geoId=103644278&keywords=restaurant%20manager&start=100
26,TableOne Hospitality,General Manager,"The Restaurant General Manager is responsible for coordinating, supervising and directing all aspects of the F&B outlet operation, while maintaining profitable F&B outlets and high-quality products and service levels. They are expected to market ideas to promote business; reduce employee turnover; maintain revenue and payroll budgets; and meet budgeted productivity while keeping quality consistently high.Must be able to effectively communicate both verbally and written, with all level of employees and guests in an attentive, friendly, courteous and service oriented manner.Must be effective at listening to, understanding, and clarifying concerns raised by employees and guests.Must be able to multitask and prioritize departmental functions to meet deadlines.Approach all encounters with guests and employees in an attentive, friendly, courteous and service-oriented manner.Attend all required meetings and trainings.Maintain regular attendance in compliance with TableOne Hospitality standards, which will vary according to the needs of the business.Maintain high standards of personal appearance and grooming.Comply with TableOne Hospitality standards and regulations to encourage safe and efficient restaurant operations.Maximize efforts towards productivity, identify problem areas and assist in implementing solutions.Must be effective in handling problems, including anticipating, preventing, identifying and solving problems as necessary.Must be able to maintain confidentiality of information.Collaborate with all partners to plan and execute initiatives benefitting the success of the restaurant, including but not limited to: culinary, marketing, sales, human resources, accounting, and property partners.Perform other duties as requested by management.",https://www.linkedin.com/jobs/search/?currentJobId=3521440833&distance=25&geoId=103644278&keywords=restaurant%20manager&start=100
27,The Wendy's Company,General Manager,"Lead the restaurant management team to meet sales and budget goals.Monitor tasks performed by employees to ensure compliance with Quality, Service, & Cleanliness programs.Ensure proper training and compliance.Manage food, labor, and paper costs as well as other controllable expenses.Make decisions regarding the hiring and termination of employees.Attend meetings requested by the District Manager or Area Director.Develop restaurant operation skills and grow within the organization.In this role, your primary responsibility will be to supervise, coordinate and delegate tasks and procedures that result in high levels of execution and operational results that meet or exceed Brand standards. Your team will count on you to ensure compliance in the areas of timely open and closes, exceptional customer service, serving the highest-quality food, maintaining restaurant cleanliness and sanitation, monitor and comply with food safety standards, and ensure order accuracy, among others. You will be a leader in creating a productive, clean, safety conscious, and friendly work environment. You will mentor and develop crew members and Team Trainers. You will partner with other Restaurant Management to identify specific opportunities for optimizing efficiencies and maximizing the profitability of the restaurant.Monitor crew members' activities during all service and non-service periods and provide positive recognition and corrections and adjustments to ensure A-level operations.Monitor projections and adjust prep charts to ensure product quality and service.Adjust the crew schedule as needed (e.g., calling or sending home based on labor, performance, and forecast).Empowered to address customer concerns to improve the customer experience and create Brand loyalty.Recommends corrective action related to customer issues or poor performance of crew or subordinate managers.",https://www.linkedin.com/jobs/search/?currentJobId=3524230486&distance=25&geoId=103644278&keywords=restaurant%20manager&start=100
28,Troon,General Manager,"Prepares and monitors annual budget, revenue goals and expenses as well as generating various weekly, monthly, etc.) business volume forecasts.Monitors monthly and other financial reports/statements on a daily, weekly, and monthly basis for the facility and takes effective corrective action when necessary.Establishes basic personnel policy, initiates, and establishes basic personnel policy, initiates and monitors policies relating to personnel actions and training along with professional development programs.Ensures all Human Resources procedures and policies are followed by management staff.Develops, maintains, and administers a sound organizational plan and initiates improvements as necessary.Maintains membership with the PGA and CMAA and other professional associations.Attends workshops and meetings to keep abreast of current information and developments.Oversees the care and maintenance of all the facility’s physical assets and each individual facility.Coordinates marketing programs to promote the facility’s services to potential customers.Ensures the highest standards for food and beverage service on property.Implements policies and procedures for multiple departments, including compliance of all company standards relating to quality of products and services.Responsible for interviewing, hiring, training, planning, assigning, and directing work, evaluating performance, rewarding, and disciplining associates; addressing complaints and resolving problems.Directly manages department members that may include, but is not limited to: Head Professional(s), Golf Course Superintendent(s), Tournament Coordinator, Director, Instruction, etc..Assures that effective orientation and training are given to each new associate.Develops ongoing training programs.Regular and reliable attendance.",https://www.linkedin.com/jobs/search/?currentJobId=3531440021&distance=25&geoId=103644278&keywords=restaurant%20manager
29,Bristol Myers Squibb,"Senior Specialist, Data Science","Develop data science strategy for safety management and implement data science activities to support all stages of drug development, including needs collection/prioritization, data utilization, data analysis, data creating.Lead or support data strategy for post-marketing database studies, including the database selection, analysis plan.Lead or support data strategy and implement data science activities for risk management initiatives and other drug development and regulatory- related activities.Provide strategic advice on data science to R&D, MA and other relevant stakeholders and initiatives.Assess and evaluate the external data sources (healthcare DBs, patient registries, others) and ensure suitable database for specific NIR.Engage & establish partnerships with academia, regional KOLs, regulators, patients, etc.Ensures that the above tasks are performed in the most efficient manner possible commensurate with quality, accuracy, and timeliness and in accordance with current global regulatory requirements and BMS cost effectiveness goals.Establish relationship with Global Data Science Group and Asian countries data science team/colleagues.",https://www.linkedin.com/jobs/search/?currentJobId=3483357919&geoId=101355337&keywords=data%20scientist&location=Japan&refresh=true&start=75
30,Murphy USA,Data Scientist,"The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms.As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.This role will facilitate the end-to-end development, testing, and monitoring of analytical models across our brands. The Data Scientist will use machine learning and algorithms in an effort to improve data quality and generate insights from the data. The role will be very hands-on and focused in AI/ML model development. This scientist will attend daily standups and work in an Agile environment.",https://www.linkedin.com/jobs/search/?currentJobId=3526759953&geoId=103644278&keywords=data%20scientist&location=United%20States&refresh=true&start=50
31,Stellar IT Solutions,Data Scientist,"Works with data sets and performs appropriate analytical methodology to provide insights anddecision modeling for the business.Creates and implements algorithms which manage the data to enable it to be analyzed in an efficientmanner.Supports the communication of derived insights, especially through appropriate visualizationtechniques.Supports the identification of the required data sources and works with Data Wranglers and/or IT toimplement methodologies to retrieve and use this data.Stays abreast of the latest appropriate analytical techniques and recommends these where needed. Explains implementation and usage in business terms.Applies analytical techniques to prospect for business insights and find patterns in data which couldbe valuable for the business.",https://www.linkedin.com/jobs/search/?currentJobId=3532595200&geoId=103644278&keywords=data%20scientist&location=United%20States&refresh=true&start=25
32,Amazon,Data Scientist,"Creating a roadmap of the most challenging business questions and use data to articulate possible root cause analysis and solutions.Managing and executing entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights.Partnering with Product, Program and Engineering teams to design and run models, research new algorithms, and prove incrementality and drive growth.Understanding drivers, impacts, and key influences on seller growth dynamics.Developing and scaling end-to-end ML Models and solutions.Automating feedback loops for algorithms in production.Utilizing Amazon systems and tools to effectively work with terabytes of data.",https://www.linkedin.com/jobs/search/?currentJobId=3464939824&geoId=101355337&keywords=data%20scientist&location=Japan&refresh=true
33,Rakuten,Data scientist,"You will be responsible for data analysis, designing KPIs, and developing a monitoring system for Rakuten Mobile and corporate services. Quantitative customer data such as customer profiles and contract details are integrated with extended data such as industry, region, customer characteristics, and purchasing patterns to analyze and predict needs, verify hypotheses, and reflect them in marketing measures. , Operation of marketing automation, analysis and prediction of customer defection, visualization of various data using BI tools, etc. You will be entrusted with general data analysis, which plays an important role not only in the marketing field, but also in various decision-making processes such as sales and business strategies.",https://www.linkedin.com/jobs/search/?currentJobId=3522220414&geoId=101355337&keywords=data%20scientist&location=Japan&refresh=true
34,Actalent,Medical Assistant,"Receive and direct phone calls, schedule appointments, check-in patients, obtain necessary patient information to file and update patient records, and ensure all forms and consents are completed by patients.Check-out patients, assist with referral processing, and arrange laboratory services.Handle billing process.Prepare patients for examination, take vitals, and record patients' health history.Set-up EKG machines, perform routine specimen collection and tests.Prepare equipment and examination rooms, and clean instruments.Assist physician with medical treatments, procedures, and exams.Manage inventory of medical supplies and equip exam rooms with appropriate supplies.",https://www.linkedin.com/jobs/search/?currentJobId=3522600298&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true&start=50
35,Child Crisis Arizona,Medical Assistant,"Interviews patient about current problems, medications, and allergies and reviews medical record for pertinent previous and current information.Participates in patient treatment regimen, including administering medications (under the supervision of a physician or nurse practitioner).Establishes and documents patient treatment regimen under supervision of NP or MD and implements treatment.Measures and records patient vital signs (pulse, blood pressure, pulse and temperature, height and weight.Performs phlebotomy: identifies patient, checks requisition form for requested tests, and prepares equipment, patient and puncture site. (Pediatric experience preferred)Collects specimens for lab tests, performs specialized testing such as vision screening and hearing tests.Maintains adequate inventory of examination room supplies and prepares exam room at the beginning and end of day and between each patient contact.Performs variety of office responsibilities: answers phones and takes messages and performs triage within scope of practice in an accurate and timely manner.Facilitates and assists in the coordination of patient referrals.Organizes and schedules appointments or assists with transporting patients to appointmentsModels Center’s expectation for sensitivity and competency relating to diversity and cultural awareness.",https://www.linkedin.com/jobs/search/?currentJobId=3527817904&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true
36,Fast Pace Health,Medical Assistant,"Greets visitors, staff, and participants promptly in a pleasant, courteous manner. Provides accurate information. Makes prompt efforts to answer questions, to resolve problems within the scope of responsibility, or notify appropriate staff to assist. Promptly notifies Center Manager or Clinic Nurse of all participant, family, and/or vendor concerns, grievances, and complaints.Schedules participant appointments within and outside the PACE center as directed by the clinic staffIn conjunction with other clinic staff and the Health Information Management Specialist, tracks external appointments and receipt of subsequent documentation.Completes or updates daily schedules, maintains flow of paperwork, and routes documents to appropriate departments in a timely manner.Coordinates transportation needs with the Transportation Coordinator as well as contacting participants and/or caregivers to notify them of appointment and transportation times.Completes paperwork and ensures that required records accompany participants scheduled for outside appointmentsMaintains clinic inventory of equipment and supplies to keep levels sufficient to meet needs of the clinic. Orders additional supplies as needed.Communicates with Clinic Nurse throughout the day to coordinate efforts and to meet participant and staff needs. This includes but is not limited to assisting with preparing exam rooms, making/stripping beds, locating and bringing participants to the clinic, and putting away supplies in the clinic to maintain an organized environment.Takes participant vital signs as directed and documents in the Electronic Health Record (EHR). Assists participants in the restroom as needed.Uses personal protective equipment as needed and complies with all infection control policies and proceduresAnswers incoming calls and re-directs as needed.Provides assistance, guidance and direction to participants, families, visitors, guests, and vendors.Receives and distributes mail and other items delivered to the clinic.Conducts self in a professional manner.Performs all other duties as assigned within the scope of his/her practice.Reports to Center Manager.",https://www.linkedin.com/jobs/search/?currentJobId=3522493187&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true&start=25
37,Mary Bridge Children's Hospital,Medical Assistant,"The Medical Assistant is responsible for assisting the provider with back office duties in the outpatient management of patients and completing or assisting with front office duties. This position is a vital part of the office team that cares for patients in the clinic setting working under the direction of a physician. This position works closely with the physicians, other clinical staff, and front office staff. Work situations are a variety of clinical functions within a clinic setting requiring knowledge and integration of available standards, resources, and data; discretion; good judgment; diplomacy; decision making; and a customer service attitude. Acting as the patient advocate the Medical Assistant has continuous contact with physicians, patients, patient families/ significant others, community agencies, and MHS patient care staff and management.",https://www.linkedin.com/jobs/search/?currentJobId=3504119178&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true
38,MultiCare Health System,Medical Assistant,"The Medical Assistant performs direct and indirect patient care in a clinical area, assisting physician with patient care and follow-up. Interviews patients and assist them in preparing for exam or treatment; Takes blood pressure, pulse and weighs patients; Takes other information as directed by physician; Schedules appointments, surgeries and special procedures; Sets up and assist physician with routine and special procedures and exams; Checks, restocks, orders supplies, and cleans equipment for assigned clinic areas; Charts as necessary, file reports and use of computer; Phones in prescriptions and refills to the pharmacy; Maintains a safe and clean environment for patients, coworkers and physicians; Answer phones providing routine information to patients and take messages for the physicians and staff.",https://www.linkedin.com/jobs/search/?currentJobId=3500097482&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true
39,Northwell Health,Medical Assistant,"Collaborates with members of the health care team in coordinating and implementing plans for patient care; may record reason for visit and related patient information for practitioner review.Performs vital signs, height, weight, and screening procedures which may include, but are not limited to, head circumference, audiometry, and vision testing; documents findings in the medical record.Collects and assists providers in collection of specimens, as required, using appropriate protocols such as infection control; completes requisitions, labels and routes specimens according to standard procedure.Performs and documents daily controls and calibration of laboratory equipment when needed; informs the supervisor of when inaccurate controls are noted.Performs electrocardiograms and phlebotomy in accordance with provider orders; adheres to infection control standards including, but not limited to, hand hygiene, use of PPE, isolation of patient with known infectious disease, and equipment disinfection/sterilization.Assists physicians and nurses with special procedures and examinations including, but not limited to lumbar puncture, pelvic exam, etc. following appropriate protocols such as infection control, universal protocol, and patient identification; secures supplies, ensures patient is properly undressed and draped, provides instruments to physicians, holds patient, as required and assists patient after procedure/examination.Maintains orderliness and cleanliness of examination rooms; stocks assigned rooms and cupboards and ensures par levels of supplies are maintained; checks and completes required logs and equipment including refrigerator logs, eyewash logs, sample medications, AED, suction and other required checks.May participate in pre-visit chart preparation by ensuring required lab results and documentation are available in the medical record for practitioner review (for practices using paper medical records).Performs variety of other clerical functions such as filing of paper medical records, processing insurance forms, preparing financial records, photocopying, answering phones, and assuring efficient flow of patients through the suite, etc.Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.",https://www.linkedin.com/jobs/search/?currentJobId=3527885718&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true&start=25
40,"Pinnacle Treatment Centers, Inc.",Medical Assistant,"Perform administrative duties of the front office.Answer phones, filing, and assisting with patient check-in.Collection of fees, preparation, and documentation of banking transactions.Verifying insurance eligibility.Escort patients to the lab and administer a variety of tests including urine and blood tests.Assist counselors and medical staff with the scheduling of patients for their appointments.The desire to work in a fast-paced environment.The ability to communicate clearly to patients and fellow staff members both verbally and in writing.Excellent customer service skills.Ability to multi-task.Knowledge of medical billing and charge entry procedures, medical terminology and basic lab test procedures preferred.",https://www.linkedin.com/jobs/search/?currentJobId=3525655917&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true&start=25
41,"Pyramid Healthcare, Inc",Medical Assistant (Full Time),"Maintains a safe physical environment for clients in the outpatient facility.Maintains therapeutic relationships with all clients and effectively communicates changes in client status or milieu to appropriate member of the treatment team.Receives direction and reports directly to the Nursing staff.Obtains vital signs and urine specimens as directed by the Nurse.Reports any significant changes in medical condition; vital signs, blood sugar results, etc. to the Nurse.Encourages clients to engage actively in their treatment.When necessary, encourages clients to routinely care for their ADL's and to maintain an orderly, clean physical environment.Orients new clients to the program and environment.Conduct all functions of the toxicology screening process including entering data into the lab system, collecting observed urine specimens, preparing specimens for transport to the lab, printing and reviewing toxicology reports, communicating results to the Nurse, Physician, and clinical staff.Faxing documentation to the pharmacy vendor.Observe and dispenses medications.Organizing of paper documentation including faxing and scanning into the electronic medical record charts.Verifying that all documentation for admission and obtained from the assessment team is available on the admission day, including records from inpatient or other providers.Coordination of admission paperwork with nursing team.Maintain unit supply inventory by checking stock, anticipate needed supplies, placing orders, verifying receipts of all orders.Assist in answering nurse phone and assisting callers.Conduct follow-up calls for clients who have missed appointments for their medication assisted treatment.Discuss and distribute client educational materials.Complete required trainings and mandatory training hours.Other duties as assigned.",https://www.linkedin.com/jobs/search/?currentJobId=3520029254&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true&start=25
42,Roper St. Francis Healthcare,Medical Assistant,"Provide patient care in outpatient physician practice under the direction of the practicing MD, APP or RN. Responsible for staging patients in preparation to see providers. Update all patient medications in the medication history at each visit. Perform patient related tasks as directed by practice providers. Facilitate the timely communication of clinical advice to patients electronically or by phone as directed by practice providers. Ensure all needed medical records are available to care teams and providers prior to patient’s office visit. Coordinate with other team members to provide exceptional patient service. Assist with other clinical and clerical duties to ensure optimization of patient experience within the practice. The Medical Assistant should be proficient with HPP (the practice management software) and eClinical Works (the EHR).",https://www.linkedin.com/jobs/search/?currentJobId=3525200389&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true
43,The US Oncology Network,Medical Assistant,"Performs phlebotomy and collects appropriate specimens from patients as ordered.Escorts patients to and from exam rooms, physician offices, and treatment room as appropriate.Records patient data prior to each physician visit, including but not limited to, vital signs, height, weight, allergies, and medication changes.Obtains all necessary patient records as required by physician and verifies presence of consent prior to treatment or procedures.Assists physicians with exams and procedures as requested.Assists with delegated patient education including but not limited to distributing education literature, etc.Maintains adequate inventory of supplies and ensures that all supplies are viable before using for patient collection.Sends specimens to reference laboratories for any testing not performed in house.Processes incoming orders for lab testing.Processes in-house and in-coming reports.Uses equipment effectively, skillfully and efficiently. Maintains equipment and work area as directed.Performs waived lab testing under CLIA guidelines for personnel. Records proper lot numbers of all controls, calibrator, and reagents for waived lab tests.Complies with regulatory agency standards. Adheres to all OSHA compliance laws and Universal Precaution procedures.Properly disposes of hazardous materials.Maintains a clean working environment and restocks the phlebotomy and laboratory area as needed.Maintains confidentially of all information related to patients and medical staff.Performs other administrative duties, i.e. typing, filing faxing reception, etc, as requested by supervisor or physician.",https://www.linkedin.com/jobs/search/?currentJobId=3506994275&geoId=103644278&keywords=medical%20assistant&location=United%20States&refresh=true
